Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,Turbo
Volkswagen,Golf Sportsvan,1.5L Turbo I4,1498.0,140.0,210,8.9,15.0,Petrol,5,250.0,Yes
Volkswagen,Golf Alltrack,2.0L Turbo Diesel I4,1968.0,173.5,210,7.1,17.5,Petrol,5,350.0,Yes
Volkswagen,Scirocco R,2.0L Turbo I4,1984.0,280.0,250,5.5,20.0,Petrol,4,350.0,Yes
Volkswagen,Tiguan Allspace,2.0L Turbo I4,1984.0,207.0,215,7.6,17.5,Petrol,7,320.0,Yes
Volkswagen,Arteon 4MOTION,2.0L Turbo I4,1984.0,255.0,250,5.6,24.0,Petrol,5,350.0,Yes
Volkswagen,ID.4 GTX,Electric AWD,77.0,299.0,180,6.2,25.0,Electric,5,460.0,No
Volkswagen,ID.3 Pro,Electric,58.0,204.0,160,7.3,17.5,Electric,5,310.0,No
Volkswagen,Golf Variant,1.5L Turbo I4 / 2.0L Diesel I4,1733.0,140.0,220,7.5,16.0,Petrol,5,320.0,Yes
Volkswagen,Crafter,2.0L Turbo Diesel I4,1968.0,139.5,160,13.0,20.0,Diesel,3,410.0,Yes
Volkswagen,Lupo,1.4L I3 Gas / 1.2L Diesel I3,1294.5,67.5,170,14.3,7.5,Petrol,4,120.0,No
Volkswagen,Corrado,2.9L VR6,2861.0,190.0,235,6.4,12.5,Petrol,4,245.0,No
Volkswagen,Phaeton,3.0L V6 Diesel / 6.0L W12 Gas,4482.5,345.0,250,6.1,42.5,Petrol,5,560.0,No
Volkswagen,Golf Cabriolet,1.2L I4 Turbo / 2.0L I4 Turbo,1590.5,157.5,217,8.4,15.0,Petrol,4,200.0,Yes
Volkswagen,Santana,1.5L I4 Gas,1498.0,110.0,190,12.9,7.5,Petrol,5,145.0,No
Volkswagen,Polo Vivo,1.4L I4 Gas / 1.6L I4 Gas,1494.0,95.0,170,10.8,7.0,Petrol,5,132.0,No
Volkswagen,Karmann Ghia,1.2L I4 Gas,1192.0,47.0,138,23.0,12.5,Petrol,2,106.0,No
Volkswagen,Fox,1.2L I4 Gas / 1.4L I4 Gas,1294.0,65.0,148,17.5,6.0,Petrol,5,93.0,No
